"","tvalues","df","t","pval","rej","D2","D1","p.one.samp","D","SE","Dr","tr","exclude"
"171",1.3,18,1.3,0.21000241907131,FALSE,0.581377674149945,0.29824045403173,0.72,0.37751887566483,0.290399135126793,-0.37751887566483,-1.3,FALSE
"172",3.64,36,3.64,0.000849306836870012,TRUE,1.18097194583195,0.598412313791501,0.72,0.761529010762827,0.209211266693084,0.761529010762827,3.64,FALSE
"173",0.78,37,0.78,0.440352248493518,FALSE,0.249799919935936,0.126532708481995,0.72,0.161047527689098,0.206471189344998,0.161047527689098,0.78,FALSE
"174",2.87,50,2.87,0.00600129453334186,TRUE,0.795994781583204,0.401880384116039,0.72,0.512232415406845,0.178478193521549,-0.512232415406845,-2.87,FALSE
"177",3.79,51,3.79,0.000399479058673879,TRUE,1.04119307473106,0.525578435923405,0.72,0.669950534789549,0.176767951131807,0.669950534789549,3.79,FALSE
"178",4.61,51,4.61,2.73037993361314e-05,TRUE,1.26646439960691,0.639291976149577,0.72,0.814900254717631,0.176767951131807,-0.814900254717631,-4.61,FALSE
"179",3.03,51,3.03,0.00383404902558793,TRUE,0.832405017529055,0.420185398640611,0.72,0.535606891929375,0.176767951131807,0.535606891929375,3.03,FALSE
"180",1.42,26,1.42,0.167488204818224,FALSE,0.536709551673103,0.273279127416423,0.72,0.347039646208293,0.244394117048094,-0.347039646208293,-1.42,FALSE
"181",2.95,25,2.95,0.00680667447568539,TRUE,1.13545552940626,0.578542598657643,0.72,0.734478219267257,0.248975667548223,-0.734478219267257,-2.95,FALSE
"182",3.72,25,3.72,0.00101315039317607,TRUE,1.43182866759027,0.729552022714045,0.72,0.926189483279388,0.248975667548223,-0.926189483279388,-3.72,FALSE
"183",0.13,196,0.13,0.896699746215298,FALSE,0.0184773954174862,0.00926211649842825,0.72,0.0118423945957645,0.0910953430443422,0.0118423945957645,0.13,FALSE
"184",3.63,70,3.63,0.000535292436243839,TRUE,0.855599205235723,0.430801741924369,0.72,0.549745031651548,0.151444912300702,0.549745031651548,3.63,FALSE
"185",3.2,3428,3.2,0.00138681621238801,TRUE,0.109278044282002,0.0546469887550464,0.72,0.0699436843025939,0.0218574013445606,0.0699436843025939,3.2,FALSE
"186",2.98,1143,2.98,0.00294341907748819,TRUE,0.176134129120531,0.0881055470023733,0.72,0.112753549995458,0.0378367617434421,-0.112753549995458,-2.98,FALSE
"187",2.6,1141,2.6,0.00944278970102452,TRUE,0.153808461632126,0.0769378943023837,0.72,0.0984616531547116,0.037869866597966,-0.0984616531547116,-2.6,FALSE
"188",0.42,1142,0.42,0.674564459400967,FALSE,0.0248351206315415,0.0124229911318256,0.72,0.015898387391746,0.037853303313681,0.015898387391746,0.42,FALSE
"189",2.59,3434,2.59,0.00963814963740139,TRUE,0.0883696596145748,0.0441912609011003,0.72,0.0565612125408731,0.0218383060003371,0.0565612125408731,2.59,FALSE
"190",1.1,3434,1.1,0.271409227015127,FALSE,0.0375315156664217,0.0187684891857955,0.72,0.0240221366003708,0.0218383060003371,0.0240221366003708,1.1,FALSE
"191",2.51,3434,2.51,0.0121187564848482,TRUE,0.085640094838835,0.042826279869406,0.72,0.0548141480608462,0.0218383060003371,-0.0548141480608462,-2.51,FALSE
"192",2.21,1140,2.21,0.0273032675206637,TRUE,0.130794420314052,0.0654258617291157,0.72,0.083729058132898,0.0378864516438452,0.083729058132898,2.21,FALSE
"193",1.17,1144,1.17,0.24224465553816,FALSE,0.0691231543782848,0.0345766662870842,0.72,0.0442496829526203,0.0378202418398464,0.0442496829526203,1.17,FALSE
"194",1.46,1151,1.46,0.144562953112211,FALSE,0.085994009351849,0.0430156625221816,0.72,0.0550495996344885,0.0377052052291017,-0.0550495996344885,-1.46,FALSE
"195",1.53,70,1.53,0.130523530886156,FALSE,0.360624458405139,0.18157759370366,0.72,0.231710715820074,0.151444912300702,0.231710715820074,1.53,FALSE
"196",2.81,70,2.81,0.00641855309738903,TRUE,0.6623233517114,0.333485645952473,0.72,0.425560203564972,0.151444912300702,-0.425560203564972,-2.81,FALSE
