"","tvalues","df","t","pval","rej","D2","D1","p.one.samp","D","SE","Dr","tr","exclude"
"9935",3.3,28,3.3,0.00264045025122117,TRUE,1.20498962651137,0.612794615984271,0.72,0.778609218931857,0.235942187555108,0.778609218931857,3.3,FALSE
"3225",2.44,25,2.44,0.0221175066731363,TRUE,0.939156437881791,0.478523369737169,0.72,0.607500628817663,0.248975667548223,-0.607500628817663,-2.44,FALSE
"18934",3.82,13,3.82,0.00212508220618846,TRUE,1.97263951766831,1.02093794410546,0.72,1.28741438470306,0.337019472435356,1.28741438470306,3.82,FALSE
"13510",1.61,15,1.61,0.12823663531949,FALSE,0.780964712616992,0.4025,0.72,0.508470119532758,0.315819950020347,-0.508470119532758,-1.61,FALSE
"13683",3.42,13,3.42,0.00456357469288404,TRUE,1.76608040587058,0.914033447340491,0.72,1.15260659572892,0.337019472435356,1.15260659572892,3.42,FALSE
"5166",2.21,21,2.21,0.0383422687782162,TRUE,0.92163371013227,0.471173583145899,0.72,0.597302418702083,0.270272587648001,0.597302418702083,2.21,FALSE
"16116",4.8,63,4.8,1.01418547517884e-05,TRUE,1.1907334520564,0.6,0.72,0.765405366575792,0.159459451369957,-0.765405366575792,-4.8,FALSE
"11062",5.3,7,5.3,0.0011233681603251,TRUE,3.53333333333333,1.87383297014435,0.93,1.98999799556758,0.375471319918411,-1.98999799556758,-5.3,FALSE
"10745",4.7,17,4.7,0.000206206022106858,TRUE,2.15650789838328,1.10780062385892,0.72,1.40143866072574,0.298178438452286,1.40143866072574,4.7,FALSE
"25735",2.54,52,2.54,0.0141121962655983,TRUE,0.691300438518808,0.34889583242967,0.72,0.444769122134629,0.175105953596311,0.444769122134629,2.54,FALSE
"17739",3.288,19,3.288,0.00386849653963184,TRUE,1.43500084619189,0.735219151001931,0.72,0.931158025655118,0.283198912912141,0.931158025655118,3.288,FALSE
