-2.235,1.414,35,1,2014,1
-1.49,0.76215,8,1,2002,2
-1.44,0.73657,8,1,2002,2
-1.369,0.3538,39,1,2015,3
-1.28,0.65473,8,1,2002,4
-1.26,0.6445,8,1,2002,4
-1.24,0.63427,8,1,2002,4
-1.21,0.61893,8,1,2002,4
-1.1,0.56266,8,1,2002,4
-1.01,0.51662,8,1,2002,4
-1.01,0.53158,28,1,2012,5
-0.977,0.2994,39,1,2015,6
-0.953,0.48281,28,1,2012,7
-0.89,0.44567,28,1,2012,7
-0.887,0.46753,28,1,2012,7
-0.847,0.2449,39,1,2015,8
-0.844,0.42557,28,1,2012,9
-0.791,0.39615,28,1,2012,9
-0.791,0.4054,39,1,2015,10
-0.761,0.199,4,1,2012,11
-0.75,0.55,23,1,2010,12
-0.742,0.46153,28,1,2012,13
-0.74,0.65,23,1,2010,14
-0.734,0.152,4,1,2012,15
-0.731,0.1726,39,1,2015,16
-0.723,0.20739,21,1,2010,17
-0.71,1.0819,24,1,2011,18
-0.702,0.252,39,1,2015,19
-0.701,0.27276,28,1,2012,20
-0.693,0.40901,28,1,2012,20
-0.675,0.24047,21,1,2010,21
-0.675,0.25786,28,1,2012,22
-0.674,0.30477,21,1,2010,23
-0.673,0.2304,39,1,2015,24
-0.669,0.41603,41,0,2015,25
-0.66,0.76,23,1,2010,26
-0.66,0.2357,39,1,2015,27
-0.648,0.24896,28,1,2012,28
-0.63,0.32225,8,1,2002,29
-0.623,0.36055,21,1,2010,30
-0.61829,0.32733,34,1,2014,31
-0.598,0.139,35,1,2014,32
-0.594,0.22398,21,1,2010,33
-0.593,0.32256,21,1,2010,33
-0.587,0.1896,39,1,2015,34
-0.58,0.29668,8,1,2002,35
-0.58,0.1942,39,1,2015,36
-0.557,0.1903,39,1,2015,36
-0.55,0.28133,8,1,2002,37
-0.55,0.42,23,1,2010,38
-0.531,0.34934,34,1,2014,39
-0.52,0.26598,8,1,2002,40
-0.52,0.61,23,1,2010,41
-0.515,0.14773,21,1,2010,42
-0.512,0.1465,39,1,2015,43
-0.51,0.85,23,1,2010,44
-0.497,0.2928,39,1,2015,45
-0.49,0.1588,39,1,2015,45
-0.488,0.2759,39,1,2015,45
-0.476,0.1655,39,1,2015,45
-0.472,0.1677,39,1,2015,45
-0.46,0.23529,8,1,2002,46
-0.46,0.31248,21,1,2010,47
-0.455,0.2613,39,1,2015,48
-0.443,0.169,2,1,2006,49
-0.441,0.109,2,1,2006,49
-0.441,0.2736,39,1,2015,50
-0.435,0.105,24,1,2011,51
-0.426,0.103,2,1,2006,52
-0.426,0.1793,39,1,2015,53
-0.425,0.1857,39,1,2015,53
-0.425,0.1845,39,1,2015,53
-0.421,0.033,40,1,2015,54
-0.419,0.122,2,1,2006,55
-0.417,0.16189,20,1,2009,56
-0.406,0.25261,21,1,2010,57
-0.405,0.1858,39,1,2015,58
-0.40447,0.12474,1,1,2003,59
-0.394,0.18789,21,1,2010,60
-0.391,0.124,15,1,2009,61
-0.39048,0.18294,10,0,2006,62
-0.39,0.052,35,1,2014,63
-0.388,0.15063,20,1,2009,64
-0.378,0.14675,20,1,2009,64
-0.378,0.32507,28,1,2012,65
-0.376,0.096,2,1,2006,66
-0.373,0.27178,28,1,2012,67
-0.366,0.14209,20,1,2009,68
-0.364,0.113,24,1,2011,69
-0.36,0.61,23,1,2010,70
-0.357,0.1386,20,1,2009,71
-0.354,0.141,2,1,2006,72
-0.351,0.25759,21,1,2010,73
-0.349,0.1757,21,1,2010,73
-0.347,0.166,4,1,2012,74
-0.336,0.13044,20,1,2009,75
-0.333,0.258,7,1,2002,76
-0.333,0.14,24,1,2011,77
-0.332,0.12889,20,1,2009,78
-0.33051,0.18301,18,1,2007,79
-0.3261,0.1266,20,1,2009,80
-0.323,0.30086,21,1,2010,81
-0.321,0.123,2,1,2006,82
-0.318,0.1234,39,1,2015,83
-0.316,0.074,2,1,2006,84
-0.314,0.41316,28,1,2012,85
-0.313,0.119,13,1,2008,86
-0.31,0.15857,8,1,2002,87
-0.303,0.103,2,1,2006,88
-0.3,0.62,23,1,2010,89
-0.3,0.52,23,1,2010,89
-0.299,0.108,2,1,2006,90
-0.298,0.052032,19,1,2009,91
-0.295,0.072,4,1,2012,92
-0.294,0.215,2,1,2006,93
-0.287,0.11142,20,1,2009,94
-0.285,0.098,2,1,2006,95
-0.283,0.102,2,1,2006,95
-0.282,0.107,2,1,2006,95
-0.282,0.18119,28,1,2012,96
-0.281,0.1221,39,1,2015,97
-0.28,0.14322,8,1,2002,98
-0.278,0.10793,20,1,2009,99
-0.271,0.1032,39,1,2015,100
-0.268,0.082,2,1,2006,101
-0.268,0.08,2,1,2006,101
-0.263,0.064,2,1,2006,101
-0.25981,0.21369,10,0,2006,102
-0.258,0.1101,39,1,2015,103
-0.257,0.40528,21,1,2010,104
-0.256,0.061,2,1,2006,105
-0.256,0.048873,19,1,2009,106
-0.254,0.15688,24,1,2011,107
-0.251,0.048806,19,1,2009,108
-0.25,0.428,23,1,2010,109
-0.248,0.138,2,1,2006,110
-0.248,0.04,17,0,2009,111
-0.242,0.076,30,0,2015,112
-0.239,0.089,4,1,2012,113
-0.235,0.094,2,1,2006,114
-0.23401,0.096504,18,1,2007,115
-0.232,0.12,13,1,2008,116
-0.232,0.094145,24,1,2011,117
-0.232,0.095,24,1,2011,117
-0.231,0.127,17,0,2009,118
-0.231,0.088,30,0,2015,119
-0.23,0.063,2,1,2006,120
-0.23,0.079,26,1,2012,121
-0.23,0.067,40,1,2015,122
