0.18,0.08,0.046,0.160
0.31,0.23,0.057,0.012
0.72,0.66,0.007,0.001
0.38,0.36,0.010,0.003
0.84,0.17,0.033,0.571
0.12,0.27,0.001,0.0005
0.76,-0.12,0.010,0.674
0.72,0.73,0.0005,0.001
0.21,0.12,0.030,0.055
0.45,0.31,0.011,0.026
0.64,0.44,0.0005,0.004
0.30,0.33,0.001,0.0005
0.83,0.37,0.004,0.142
0.28,-0.01,0.031,0.933
0.49,0.34,0.0005,0.016
0.66,0.53,0.016,0.010
0.32,0.30,0.0005,0.001
0.28,-0.12,0.07,0.154
estimate 1,estimate 2,p-value 1,p-value 2
,,replacing <.001 with 0.0005,
